RecipeNo,name,procedure,time,cuisine,vegNonVeg,mealtype,author,likes,image
1,Samosa,"Start by making the samosa dough. Boil potatoes until done. 8 to 9 whistles on high heat with 1 cup water in the bottom of the pot.Mash the potatoes. Set aside. Heat 2 tablespoons of oil in a pan on medium heat. Once the oil is hot, add the cumin seeds, fennel seeds and crushed coriander seeds. Cook for 1 minute. Add the boiled & mashed potatoes and green peas to the pan. Mix everything together. I use my potato masher to combine the spices and seasonings well with the potatoes and peas. Add the coriander powder, garam masala, amchur, red chili powder and salt. Mix to combine. Once it’s all well incorporated, remove pan from heat and let the filling cool down a bit. Fry on low heat. After around 10-12 minutes, the samosa will become firm and light brown in color.",60,indian,veg,Snacks,Pragati,1,
2,Chicken Tikka Masala,"In a bowl, combine chicken with all of the ingredients for the chicken marinade; let marinate for 10 minutes to an hour. Heat oil in a large skillet or pot. Fry until browned for only 3 minutes on each side. Melt the butter in the same pan. Fry the onions. Add garlic and ginger and sauté for 1 minute until fragrant, then add garam masala, cumin, turmeric and coriander. Fry for about 20 seconds. Stir the cream and sugar through the sauce. Add the chicken. Pour in the water to thin out the sauce. Garnish with cilantro (coriander) and serve with fresh, hot basmati rice.",45,indian,nonVeg,Lunch,Pragya,0,
3,Gulab Jamun,"Take khoya in a bowl. Mash it very well. Then add grated paneer, rava (sooji), all purpose flour (maida), baking powder and cardamom powder to the mashed khoya. Mix well. Add milk and form a dough with milk. Gently mix. Make small balls from the dough. Dissolve sugar in water. Heat the sugar solution till it become sticky. Add rose water and stir. Meanwhile, while the sugar syrup is cooking, heat oil till its medium hot. Lower the flame. Gently place the gulab jamun in the oil. Remove the gulab jamun and then drain them on kitchen paper towels to remove excess oil. Place the hot gulab jamun in the sugar syrup.",35,indian,veg,Snacks,Pratheeksha,1,
4,Dosa,"Wash the rice and urad daal well. Add the fenugreek seeds to the mix and fill enough water. Soak overnight. The next morning, drain all the water from the rice and urad daal. Now put some in a food processor and grind—adding very little water to a smooth yet slightly grainy paste. Put it into a large mixing bowl and add enough water to make a batter.Add salt to taste. After this fermentation, stir the batter well. It is now ready to make dosas.Turn on the heat/ flame at medium high. Fill the ladle up to the 3/4 level with dosa batter. Gently pour this batter onto the center of the pan—just as you would for a pancake—till the ladle is empty.",20,indian,veg,Breakfast,Priyanka,0,
5,Rasgulla,"Firstly, in a thick bottomed pan add 1 litre milk. Add lemon juice and stir well. Add more lemon juice and stir till milk curdles completely. and immediately drain the curdled milk into the hand kerchief. Pour a cup of water and clean the paneer as it has lemon juice in it. Bring it together and squeeze off excess water. Hang for 30 minutes. After 30 minutes, start to knead the paneer till it turns out smooth. Make small balls of paneer and keep aside. For the sugar syrup. Cover and boil for 15 minutes. The paneer balls will have doubled in size. Keep aside till it cools completely and then refrigerate. Serve rasgulla chilled or at room temperature garnished with few saffron strands.",70,indian ,veg,Snacks,Shreya,1,
6,Momo,"Mix the maida, salt and baking powder and knead to a stiff dough with water. Heat oil and add the onion and garlic. Saute over high heat and add the carrot and cabbage. Turn around over high heat till glossy. Take it off the heat and mix in the soya sauce, salt, vinegar and black pepper. Roll the dough thin (translucent) and cut into 4""-5"" rounds. Take a round, wet edges and place some filling in the center. Bring edges together to cover the filling. Twist to seal and fill the rest in the same way. Steam for about 10 minutes and serve with soya sauce and chilli sauce.",50,indian,veg,Snacks,Rakshita,1,
7,Palak Paneer,"To a pot of boiling water, add little salt and then spinach leaves to it. Blanch the spinach leaves for 2 to 3 minutes until wilted. Take them out and put them in ice cold water. This helps the leaves in retaining their green color.To a blender, add the blanched spinach along with tomato, 3 cloves of garlic, ginger and green chili. Puree to a smooth paste and set aside. Heat a pan on medium heat. Add in the prepared spinach puree and mix. Also add around 1/2 cup water at the point. Cover the pan and let it cook for 10 minutes on medium heat. The spinach will bubble a lot. Stir at regular intervals to avoid sticking at the bottom. Once the spinach is cooked, add the garam masala, turmeric powder, red chilli powder and salt. Mix and cook for 1 minute. You may also add ½ teaspoon of sugar at this point if you like. Then add the heavy cream and mix. Stir in the paneer and mix. Let the curry simmer for 3 to 4 minutes. Switch off the flame, add lemon juice and kasuri methi and mix. Serve palak paneer hot with naan or roti or rice.",40,indian,veg,Lunch,Ranjitha,0,
8,Pav Bhaji,"Rinse, peel and chop the veggies. you will need 1 cup chopped cauliflower, 1 cup chopped carrot, 3 medium sized potatoes (chopped) and ⅓ cup chopped french beans. you can also add veggies of your choice. Add all the above chopped veggies in a 2 litre pressure cooker. also add 1 cup green peas. Heat a pan or kadai. you can also use a large tawa. Add 2 to 3 tablespoons butter. You can use amul butter or any brand of butter. butter can be salted or unsalted. As soon as the butter melts, add 1 teaspoon cumin seeds. Let the cumin seeds crackle and change their color. Then add ½ cup finely chopped onions. Mix onions with the butter and saute on a low to medium flame till the onions translucent.
then add 2 teaspoons ginger-garlic paste. You can also crush 1.5 inch ginger and 5 to 6 medium garlic cloves in a mortar-pestle. Heat a tawa or a shallow frying pan. keep the flame to a low and then add butter. When the butter begins to melt, add a bit of pav bhaji masala. You can skip pav bhaji masala if you want. Mix the pav bhaji masala very well with a spoon or spatula. Then place the pav on the butter. Rotate the pav all over the melted butter so that the pav absorbs the butter. Now turn over the pav and rotate them on the tawa so that the second side absorbs the butter. Add more butter if required.",40,indian,veg,Snacks,Alex,1,
9,Jalebi,"For making this easy dessert recipe, mix maida, corn flour and baking soda in a bowl. Now, add ghee and orange food colour in the above mixture. To make a thick batter, add curd and water. Mix well until it is thick but has a pouring consistency. Keep it aside for 8 hours or overnight. 8-10 hours. Now heat oil in a pan over medium flame for deep frying. Now fill the jalebi batter in a muslin cloth and pierce a small hole in the cloth. Squeeze the muslin cloth to make concentric circles. Move from inside to outside to make perfect circles. Fry till jalebis are crisp and golden. Soak the jalebis in sugar syrup for 2-3 minutes. Ensure that the sugar syrup is warm and not very hot. Now remove from the syrup and place on a tray lined with butter paper or foil. Decorate with silver foil and serve the jalebis hot, warm or at room temperature with creamy Rabri.
",50,indian,veg,Snacks,Ananya,0,
10,Idli,"To prepare this popular South indian recipe, wash rice and urad dal separately until the water runs clean and add fenugreek seeds to the rice. Soak it in water for 4-6 hours. Soak the urad dal too for the same amount of time.Grind the rice to a coarse paste and then mix both the pastes together in a large bowl and whisk them well. Make sure that the consistency is thick. Now, the idli batter needs to be well-fermented. This step is very important to get soft and fluffy idlis. Keep the batter in a warm place to ferment. Once the batter has risen, add salt to it and whisk to mix it well. Grease the idli stand with oil and take a ladleful of batter and fill the idli mould. Add ½ cup of water in the idli steamer and let it boil. Put the idli stand inside and close the lid. Let the steam build for 8-10 minutes before switching off the gas. If you are using a cooker, use it without a vent and steam it for 10 minutes and then switch the gas off. In both cases, wait till the steam is released before you take the idli stand out. Wait for another 5 minutes and then use a sharp knife to scoop the idlis out. Serve warm with coconut chutney.",60,indian,veg,Breakfast,Atiksh,1,
